Shipment_ID,Shipment_Date,Origin_City,Destination_City,Distance_KM,Transport_Mode,Vehicle_Type,Weight_KG,Volume_CBM,Shipment_Type,Delivery_Days,Vendor_ID,Vendor_Name,Vendor_Rating,Vendor_Experience_Years,Base_Freight_Cost,Fuel_Cost,Toll_Cost,Handling_Cost,Other_Cost,Total_Freight_Cost,Invoice_ID,Invoice_Date,Invoice_Amount,Expected_Invoice_Amount,Payment_Status,Payment_Delay_Days,Cost_Difference,Cost_Difference_Percentage,Duplicate_Invoice_Flag,Invoice_Mismatch_Flag,Unusual_Cost_Flag,High_Risk_Vendor_Flag,Fraud_Risk_Score,Risk_Level
SHP000032,2024-01-15,Lucknow,Ahmedabad,1210.3,Rail,Cargo Wagon,867.9,3.05,Express,6,VEN005,ExpressHaul,3.2,11.0,11417.76,780.97,0.0,452.27,71.01,12272.39,INV000032,2024-01-21,11882.42,12135.35,Overdue,47,-252.93,-2.08,0,0,0,1,28.6,Medium
SHP000033,2025-06-13,Surat,Pune,1175.8,Rail,Container Wagon,914.4,3.66,Standard,4,VEN015,Omni Freight,3.9,18.0,10462.68,806.39,0.0,439.5,128.61,11607.29,INV000033,2025-06-17,11391.77,11433.07,Paid,14,-41.3,-0.36,0,0,0,0,6.6,Low
SHP000034,2025-05-12,Surat,Delhi,885.3,Road,Trailer,2537.9,9.37,Standard,3,VEN021,United Freight,4.5,24.0,15283.9,1529.63,1267.35,775.55,186.97,16270.64,INV000034,2025-05-15,16060.57,16122.47,Paid,15,-61.9,-0.38,0,0,0,0,10.4,Low
SHP000035,2024-03-24,Kolkata,Lucknow,1776.8,Rail,Cargo Wagon,926.5,6.34,Express,7,VEN015,Omni Freight,3.9,18.0,17146.29,1434.38,0.0,457.42,510.25,34162.53,INV000035,2024-03-29,34688.61,35448.24,Overdue,80,-759.63,-2.14,0,0,1,0,24.7,Low
SHP000036,2025-06-18,Indore,Pune,728.3,Air,Air Cargo Standard,3255.9,32.92,Fragile,3,VEN014,NorthStar Logistics,4.6,5.0,47152.58,2272.1,0.0,1219.77,181.83,55927.43,INV000036,2025-06-25,55652.63,56146.74,Paid,8,-494.11,-0.88,0,0,0,0,1.2,Low
SHP000037,2025-02-13,Nagpur,Delhi,1094.7,Road,Trailer,2723.7,8.65,Standard,4,VEN005,ExpressHaul,3.2,11.0,19103.69,2207.21,1210.52,936.97,135.67,26158.51,INV000037,2025-02-20,25795.71,25778.07,Paid,18,17.64,0.07,0,0,0,1,15.1,Low
SHP000038,2024-03-30,Hyderabad,Bengaluru,1242.5,Air,Air Cargo Standard,1254.7,9.25,,4,VEN012,LoadMasters,4.9,6.0,46353.06,1872.43,0.0,,512.68,45800.73,INV000038,2024-04-04,46261.67,45827.32,Overdue,105,434.35,0.95,0,0,0,0,27.6,Medium
SHP000039,2024-07-15,Surat,Chandigarh,2699.5,Rail,Container Wagon,634.6,4.77,Fragile,10,VEN008,Horizon Carriers,4.6,10.0,24742.49,2529.46,0.0,313.17,43.88,26003.93,INV000039,2024-07-19,26604.54,26664.23,Paid,12,-59.69,-0.22,0,0,0,0,9.0,Low
SHP000040,2025-05-05,Lucknow,Indore,796.8,Road,LCV,514.4,2.23,Standard,3,VEN010,JetMove Logistics,3.9,13.0,8109.17,1125.52,1421.86,341.8,167.53,12067.76,INV000040,2025-05-06,11688.84,11740.03,Paid,1,-51.19,-0.44,0,0,0,0,0.0,Low
SHP000041,2025-12-30,Indore,Ahmedabad,2142.5,Road,,3058.1,9.53,Standard,9,VEN021,United Freight,4.5,24.0,19306.08,3363.85,2907.93,948.49,211.36,28959.11,INV000041,2026-01-01,29640.48,29629.55,Paid,10,10.93,0.04,0,0,0,0,0.0,Low
SHP000042,2025-01-23,Indore,Lucknow,1179.5,Air,Air Cargo Express,1491.6,6.11,Express,3,VEN019,SkyLink Cargo,4.7,15.0,73399.47,3247.02,0.0,608.45,63.25,77368.73,INV000042,2025-01-24,76874.8,77074.5,Overdue,58,-199.7,-0.26,0,0,0,0,17.3,Low
SHP000043,2025-07-22,Indore,Chandigarh,792.2,Road,Trailer,1192.9,14.7,Bulk,5,VEN019,SkyLink Cargo,4.7,15.0,10600.81,1354.91,1343.56,545.05,893.39,15323.73,INV000043,2025-07-24,15214.34,14823.06,Paid,9,391.28,2.64,0,0,0,0,7.2,Low
SHP000044,2025-01-28,Kochi,Lucknow,1467.0,Road,Mini Truck,570.1,2.27,Bulk,7,VEN011,Kinetic Transport,,21.0,12860.83,1859.23,1744.58,384.17,211.07,17540.15,INV000044,2025-01-29,17983.22,17811.42,Paid,11,171.8,0.96,0,0,0,0,4.7,Low
SHP000045,2026-02-14,Nagpur,Chennai,1054.6,Road,Truck,972.1,4.06,Bulk,3,VEN029,Titan Transport,3.3,20.0,10804.99,1851.9,1719.76,394.59,421.9,14574.42,INV000045,2026-02-18,13863.34,13753.6,Paid,9,109.74,0.8,0,0,0,1,20.8,Low
SHP000046,2026-05-27,Pune,Lucknow,852.4,Road,Truck,1163.3,,Bulk,4,VEN003,CargoLink India,4.7,10.0,11111.86,2000.52,823.44,380.46,115.97,14531.27,INV000046,2026-05-31,15084.97,15157.63,Overdue,60,-72.66,-0.48,0,0,0,0,10.3,Low
SHP000047,2025-01-15,Jaipur,Nagpur,950.5,Road,Trailer,1754.1,7.67,Fragile,4,VEN011,Kinetic Transport,3.7,21.0,15952.82,1960.02,1480.72,546.76,56.63,20751.38,INV000047,2025-01-22,21075.26,21125.57,Pending,32,-50.31,-0.24,0,0,0,0,13.2,Low
SHP000048,2024-09-23,Lucknow,Kolkata,486.5,Road,Truck,1720.3,5.83,Standard,4,VEN004,Delta Freight,4.4,25.0,7275.54,1120.65,769.11,535.73,435.02,9762.29,INV000048,2024-09-25,9650.61,9954.52,Paid,18,-303.91,-3.05,0,0,0,0,3.6,Low
SHP000049,2025-06-02,Nagpur,Lucknow,1799.3,Rail,Container Wagon,2602.7,10.94,Fragile,7,VEN011,Kinetic Transport,3.7,21.0,19192.59,1383.58,0.0,753.27,874.35,23667.5,INV000049,2025-06-03,22769.04,23873.15,Paid,9,-1104.11,-4.62,0,0,0,0,0.2,Low
SHP000050,2026-03-06,Hyderabad,Nagpur,618.6,Road,Truck,2593.4,9.28,Fragile,3,VEN029,Titan Transport,,20.0,12372.55,1772.77,635.08,,135.04,15456.74,INV000050,2026-03-12,16268.59,15977.04,Pending,7,291.55,1.82,0,0,0,1,12.5,Low
SHP000051,2025-06-23,Kolkata,Ahmedabad,1451.4,Rail,Cargo Wagon,1967.4,11.28,Express,5,VEN011,Kinetic Transport,3.7,21.0,13806.58,1137.62,0.0,588.21,96.79,17526.71,INV024115,2025-06-25,13310.25,17171.04,Paid,3,-3860.79,-22.48,1,1,0,0,65.8,High
SHP000052,2024-11-06,Indore,Ahmedabad,1903.1,Air,Air Cargo Standard,333.7,2.83,Bulk,4,VEN028,SwiftCargo,3.1,9.0,66593.15,2693.14,0.0,297.88,215.21,69011.59,INV000052,2024-11-11,55228.06,71247.56,Paid,10,-16019.5,-22.48,0,1,0,1,44.1,Medium
SHP000053,2025-11-29,Kochi,Bengaluru,870.4,Road,Trailer,950.1,4.83,Standard,5,VEN015,Omni Freight,3.9,18.0,11897.51,2196.91,1401.05,388.58,54.56,16870.93,INV000053,2025-12-05,17179.12,16972.16,Paid,4,206.96,1.22,0,0,0,0,3.0,Low
SHP000054,2024-06-10,Surat,Ahmedabad,1838.6,Air,Air Cargo Express,2290.7,26.43,Standard,3,VEN021,United Freight,4.5,24.0,103906.1,4819.45,0.0,788.3,120.21,115178.09,INV000054,2024-06-12,118262.52,117570.21,Pending,10,692.31,0.59,0,0,1,0,23.1,Low
SHP000055,2024-09-02,Bengaluru,Delhi,1025.4,Road,Mini Truck,1759.9,5.45,Fragile,5,VEN014,NorthStar Logistics,4.6,5.0,13510.57,1868.8,1696.14,513.92,440.99,18767.69,INV000055,2024-09-08,18444.27,18467.46,Paid,9,-23.19,-0.13,0,0,0,0,12.8,Low
SHP000056,2024-05-17,Surat,Mumbai,947.2,Road,Truck,3099.0,14.29,Standard,5,VEN008,Horizon Carriers,4.6,10.0,13995.51,1936.05,813.4,661.41,255.03,18153.68,INV000056,2024-05-23,17698.03,18106.31,Pending,8,-408.28,-2.25,0,0,0,0,9.7,Low
SHP000057,2026-04-01,Indore,Jaipur,369.8,Road,Mini Truck,244.5,1.41,,3,VEN023,WestWay Transport,,5.0,4019.31,682.4,572.96,299.64,104.4,6317.07,INV000057,2026-04-05,6812.65,6612.17,Paid,14,200.48,3.03,0,0,0,0,2.7,Low
SHP000058,2026-04-26,Bengaluru,Chennai,640.7,Road,Truck,663.8,1.9,Standard,4,VEN030,Urban Logistics,,21.0,8417.91,1232.38,1139.93,396.24,436.79,13572.04,INV000058,2026-05-02,14247.95,13674.07,Paid,18,573.88,4.2,0,0,0,0,6.1,Low
SHP000059,2026-05-12,Delhi,Hyderabad,981.9,Air,Air Cargo Standard,895.5,3.79,Express,3,VEN008,Horizon Carriers,4.6,10.0,50189.13,2641.97,0.0,414.07,737.95,59433.55,INV000059,2026-05-13,55561.65,57324.11,Paid,10,-1762.46,-3.07,0,0,0,0,12.1,Low
SHP000060,2024-01-21,Chennai,Hyderabad,1536.7,Road,,1302.4,6.69,Standard,7,VEN024,Zenith Carriers,4.8,21.0,18457.76,1921.59,2662.46,528.05,120.86,23239.78,INV010649,2024-01-24,23982.4,24011.21,Paid,0,-28.81,-0.12,1,0,0,0,34.1,Medium
SHP000061,2026-03-20,Surat,Ahmedabad,1395.2,Road,Truck,1467.8,10.44,Standard,6,VEN008,Horizon Carriers,4.6,10.0,17180.61,2399.14,1071.42,644.09,466.28,22306.25,INV000061,2026-03-24,22520.18,22422.79,Paid,12,97.39,0.43,0,0,0,0,7.2,Low
SHP000062,2024-07-16,Indore,Chandigarh,1951.3,Rail,Container Wagon,1727.8,9.18,Bulk,7,VEN022,Velocity Logistics,3.7,12.0,16188.42,1040.61,0.0,382.92,99.36,18829.64,INV000062,2024-07-17,18932.85,18754.72,Pending,23,178.13,0.95,0,0,0,0,0.3,Low
SHP000063,2026-05-07,Jaipur,Pune,1131.1,Air,Air Cargo Standard,2802.6,14.4,Fragile,4,VEN024,Zenith Carriers,4.8,21.0,56371.75,3820.89,0.0,710.73,431.49,56346.97,INV000063,2026-05-13,56286.6,56544.72,Overdue,39,-258.12,-0.46,1,0,0,0,50.4,Medium
SHP000064,2024-11-02,Lucknow,Nagpur,462.3,Air,Air Cargo Standard,670.5,2.61,Standard,3,VEN014,NorthStar Logistics,4.6,5.0,18112.44,1366.81,0.0,396.07,113.34,20994.51,INV000064,2024-11-07,21702.88,21340.81,Paid,1,362.07,1.7,0,0,0,0,11.5,Low
SHP000065,2024-10-02,Pune,Ahmedabad,988.1,Road,Truck,859.0,3.52,Fragile,5,VEN023,WestWay Transport,4.9,5.0,15171.49,1667.54,1120.51,440.01,214.81,18964.51,INV000065,2024-10-03,18974.84,18694.63,Paid,5,280.21,1.5,0,0,0,0,6.4,Low
SHP000066,2025-08-14,Surat,Kochi,1296.4,Road,Mini Truck,578.7,3.95,Standard,5,VEN009,India Freight Network,3.3,3.0,12110.68,2043.52,2129.78,,333.56,16859.26,INV000066,2025-08-19,17753.8,17573.17,Paid,5,180.63,1.03,0,0,0,1,12.8,Low
SHP000067,2025-12-12,Bengaluru,Kochi,2366.5,Road,LCV,568.0,3.87,Standard,8,VEN003,CargoLink India,4.7,10.0,23867.86,3981.09,2558.35,,312.67,31835.88,INV000067,2025-12-15,30572.62,30364.17,Paid,17,208.45,0.69,0,0,0,0,5.1,Low
SHP000068,2024-12-04,Kolkata,Pune,258.1,Road,Trailer,3499.5,41.11,Bulk,2,VEN003,CargoLink India,4.7,10.0,10791.25,1589.91,279.95,1297.34,153.73,13904.81,INV000068,2024-12-06,12964.81,13110.52,Pending,23,-145.71,-1.11,0,0,0,0,1.3,Low
SHP000069,2026-01-11,Chennai,Indore,1896.2,Rail,Cargo Wagon,698.9,,Fragile,5,VEN014,NorthStar Logistics,4.6,5.0,13707.54,1308.74,0.0,422.04,331.06,16879.85,INV000069,2026-01-15,16926.67,16710.64,Pending,25,216.03,1.29,0,0,0,0,8.2,Low
SHP000070,2024-01-19,Nagpur,Pune,854.4,Road,LCV,626.3,3.75,Express,4,VEN028,SwiftCargo,3.1,9.0,12688.95,1550.85,1035.01,378.75,372.26,15840.86,INV000070,2024-01-24,15720.15,15913.44,Paid,18,-193.29,-1.21,0,0,0,1,5.0,Low
SHP000071,2026-03-19,Jaipur,Surat,1258.9,Air,Air Cargo Express,1039.4,3.25,Standard,3,VEN004,Delta Freight,4.4,,57712.64,3711.46,0.0,483.8,61.6,65701.84,INV000071,2026-03-22,64588.02,64525.63,Paid,13,62.39,0.1,0,0,0,0,6.8,Low
SHP000072,2025-04-10,Chandigarh,Indore,1715.7,Road,Truck,577.3,7.94,Fragile,7,VEN014,NorthStar Logistics,4.6,5.0,23112.99,3920.07,2497.8,459.28,374.74,32228.03,INV000072,2025-04-16,32739.45,32232.86,Paid,4,506.59,1.57,0,0,0,0,9.3,Low
SHP000073,2025-04-28,Surat,Hyderabad,698.2,Road,LCV,1145.7,6.95,Fragile,3,VEN022,Velocity Logistics,3.7,12.0,9712.74,1431.68,704.84,453.41,106.14,11718.32,INV000073,2025-05-05,11221.37,11180.22,Paid,10,41.15,0.37,0,0,0,0,8.9,Low
SHP000074,2026-03-07,Bengaluru,Kolkata,533.2,Road,Truck,677.1,2.01,Standard,4,VEN007,Global Route,4.5,23.0,7803.87,867.42,831.75,356.61,388.31,10148.61,INV000074,2026-03-12,10012.93,10204.56,Pending,8,-191.63,-1.88,0,0,0,0,12.4,Low
SHP000075,2024-02-19,Kochi,Surat,854.2,Road,LCV,1954.0,7.71,Standard,4,VEN022,Velocity Logistics,3.7,12.0,9599.5,1000.49,1212.26,566.97,182.18,11618.69,INV000075,2024-02-21,11751.32,11652.94,Paid,1,98.38,0.84,0,0,0,0,10.5,Low
SHP000076,2026-03-08,Mumbai,Jaipur,2619.7,Rail,Cargo Wagon,443.9,2.55,Fragile,9,VEN010,JetMove Logistics,3.9,13.0,21048.0,2139.79,0.0,341.2,665.36,24930.83,INV000076,2026-03-10,23717.91,24390.71,Paid,0,-672.8,-2.76,0,0,0,0,6.7,Low
SHP000077,2024-07-01,Indore,Chandigarh,529.7,Rail,Cargo Wagon,558.6,3.36,Fragile,3,VEN025,Orbit Logistics,4.6,17.0,5197.69,526.82,0.0,358.31,182.78,6735.66,INV000077,2024-07-05,6399.64,6457.79,Paid,3,-58.15,-0.9,0,0,0,0,5.7,Low
SHP000078,2026-06-11,Chandigarh,Delhi,404.5,Rail,,1086.6,3.24,Standard,2,VEN018,RoadBridge Logistics,3.1,7.0,4063.43,316.03,0.0,408.79,216.63,4237.12,INV000078,2026-06-13,4269.82,4367.2,Paid,2,-97.38,-2.23,0,0,0,1,11.0,Low
SHP000079,2025-10-09,Nagpur,Bengaluru,185.8,Rail,Container Wagon,1059.2,3.62,Fragile,1,VEN017,QuickHaul,4.1,9.0,2749.84,165.91,0.0,369.34,351.28,3724.05,INV000079,2025-10-12,2969.86,3831.3,Paid,18,-861.44,-22.48,0,1,0,0,37.9,Medium
SHP000080,2024-11-04,Bengaluru,Chennai,867.0,Road,Trailer,1877.1,6.52,Standard,3,VEN006,FastTrack Logistics,5.0,9.0,14244.92,2429.54,662.56,721.02,66.47,18739.13,INV000080,2024-11-10,14498.89,18704.45,Overdue,56,-4205.56,-22.48,0,1,0,0,47.1,Medium
SHP000081,2024-02-29,Kochi,Surat,1162.4,Road,Mini Truck,4249.3,18.71,Standard,5,VEN014,NorthStar Logistics,4.6,5.0,15024.57,2686.62,910.04,1343.85,255.62,20917.94,INV000081,2024-03-01,21487.98,20970.95,Pending,32,517.03,2.47,0,0,0,0,10.6,Low
SHP000082,2024-04-20,Indore,Kolkata,1738.8,Road,Trailer,608.2,6.95,Standard,7,VEN026,Pioneer Freight,3.4,18.0,24482.1,3829.75,2854.56,357.18,543.91,49678.55,INV000082,2024-04-21,49939.65,50634.67,Paid,4,-695.02,-1.37,1,0,1,0,61.6,High
SHP000083,2024-04-19,Mumbai,Surat,948.5,Road,Truck,1112.8,4.84,Standard,5,VEN001,Apex Logistics,4.5,24.0,12029.11,1936.33,903.08,353.13,400.79,15559.16,INV000083,2024-04-24,15733.65,15643.56,Paid,0,90.09,0.58,0,0,0,0,3.1,Low
SHP000084,2024-03-03,Jaipur,Hyderabad,614.0,Road,Mini Truck,1631.1,5.1,Fragile,3,VEN023,WestWay Transport,4.9,5.0,8080.04,900.85,467.65,412.63,83.25,9490.41,INV000084,2024-03-04,8800.89,8953.82,Paid,1,-152.93,-1.71,0,0,0,0,5.9,Low
SHP000085,2025-07-08,Nagpur,Indore,708.5,Road,LCV,1217.2,6.37,Express,3,VEN015,Omni Freight,3.9,18.0,10024.85,1039.29,882.07,393.7,178.58,14046.01,INV000085,2025-07-12,13843.8,13998.68,Paid,14,-154.88,-1.11,0,0,0,0,0.0,Low
SHP000086,2026-02-19,Ahmedabad,Jaipur,1132.0,Air,Air Cargo Standard,646.4,3.13,Standard,3,VEN022,Velocity Logistics,3.7,12.0,47087.33,3763.41,0.0,382.13,410.79,55323.11,INV000086,2026-02-26,55876.03,54151.76,Paid,10,1724.27,3.18,0,0,0,0,8.4,Low
SHP000087,2025-12-20,Hyderabad,Mumbai,1357.7,Rail,Cargo Wagon,621.8,4.52,Express,6,VEN020,TransNova,4.3,18.0,13224.26,970.23,0.0,395.16,263.5,20438.69,INV000087,2025-12-21,21156.87,20100.24,Paid,3,1056.63,5.26,0,0,1,0,27.3,Medium
